id_usuario,palavra,contagem
10214421550670970,amigo,18
10214421550670970,cruzeiro,16
10214421550670970,deus,10
10214421550670970,fe,9
10214421550670970,guerreiro,9
10214421550670970,ajudar,7
10214421550670970,mundo,7
10214421550670970,facebook,6
10214421550670970,amizade,6
10214421550670970,forte,6
741112402763818,amigo,10
741112402763818,coracao,9
741112402763818,pensar,9
741112402763818,mundo,8
741112402763818,olho,7
741112402763818,amo,7
741112402763818,vida,7
741112402763818,amor,7
741112402763818,deus,5
741112402763818,ladison,5
397238520731799,amigo,9
397238520731799,amizade,7
397238520731799,verdadeiro,3
397238520731799,amo,3
397238520731799,valorizar,3
397238520731799,amor,2
397238520731799,assunto,2
397238520731799,direito,2
397238520731799,mundo,2
397238520731799,matar,2
1426808120769057,norte,31
1426808120769057,ga,25
1426808120769057,produto,23
1426808120769057,garantir,15
1426808120769057,seguranca,14
1426808120769057,ligar,14
1426808120769057,colher,13
1426808120769057,precisar,13
1426808120769057,carinho,12
1426808120769057,qualidade,12
1796067243760886,vida,10
1796067243760886,morrer,10
1796067243760886,amor,7
1796067243760886,viver,7
1796067243760886,rap,6
1796067243760886,precisar,5
1796067243760886,deixar,5
1796067243760886,quebrar,4
1796067243760886,sonho,4
1796067243760886,mundo,4
1466776020086339,deus,33
1466776020086339,vida,33
1466776020086339,netflix,26
1466776020086339,saudade,25
1466776020086339,desejar,24
1466776020086339,amor,19
1466776020086339,comigo,18
1466776020086339,amo,17
1466776020086339,gostar,16
1466776020086339,achar,16
301517977003767,amo,15
301517977003767,vida,14
301517977003767,coracao,10
301517977003767,amor,8
301517977003767,chegar,5
301517977003767,tristir,5
301517977003767,acabar,5
301517977003767,ragar,5
301517977003767,conversar,5
301517977003767,louco,4
180167572569447,amor,21
180167572569447,vida,20
180167572569447,mundo,15
180167572569447,esperar,13
180167572569447,amo,11
180167572569447,gostar,9
180167572569447,ouvir,8
180167572569447,acreditar,8
180167572569447,coracao,8
180167572569447,passo,7
2414528602105480,vida,46
2414528602105480,pensar,36
2414528602105480,chorar,34
2414528602105480,amor,32
2414528602105480,ajudar,32
2414528602105480,mundo,30
2414528602105480,lamina,26
2414528602105480,sentir,24
2414528602105480,amo,24
2414528602105480,coracao,24
928018567367487,achar,4
928018567367487,assistir,3
928018567367487,levar,2
928018567367487,chegar,2
928018567367487,naruto,2
928018567367487,brincadeira,2
928018567367487,celular,2
928018567367487,vida,2
928018567367487,coracao,2
928018567367487,gostar,2
