id_usuario,palavra,contagem
1358116567556711,vida,10
1358116567556711,deus,10
1358116567556711,agradecer,8
1358116567556711,vivasorrir,8
1358116567556711,sorriso,7
1358116567556711,família,7
1358116567556711,tão,6
1358116567556711,esperar,6
1358116567556711,especial,6
1358116567556711,familiar,6
1870214326566563,amo,3
1870214326566563,série,1
1870214326566563,olhar,1
1870214326566563,pão,1
1870214326566563,bom,1
1870214326566563,mãe,1
1870214326566563,carinho,1
1870214326566563,mês,1
1870214326566563,mini,1
1870214326566563,ônibus,0
1568317806526434,sorriso,2
1568317806526434,simplesmente,2
1568317806526434,fato,1
1568317806526434,realizar,1
1568317806526434,watch,1
1568317806526434,momento,1
1568317806526434,saudade,1
1568317806526434,restar,1
1568317806526434,vivir,1
1568317806526434,youtube,1
829499647204368,ônibus,0
829499647204368,doerr,0
829499647204368,encarar,0
829499647204368,encantar,0
829499647204368,encalhar,0
829499647204368,enaltecer,0
829499647204368,empurrar,0
829499647204368,empresa,0
829499647204368,emprego,0
829499647204368,empregar,0
10209344907449246,ir,6
10209344907449246,maravilhoso,5
10209344907449246,amo,4
10209344907449246,passar,4
10209344907449246,frio,4
10209344907449246,deus,4
10209344907449246,mudar,4
10209344907449246,precisar,4
10209344907449246,carinho,3
10209344907449246,poder,3
1396904740407454,vida,7
1396904740407454,deus,4
1396904740407454,presente,3
1396904740407454,olhar,2
1396904740407454,cuidar,2
1396904740407454,amo,2
1396904740407454,amor,2
1396904740407454,nascer,2
1396904740407454,gonçalves,2
1396904740407454,agradecer,2
509263439449351,existir,4
509263439449351,medo,4
509263439449351,vida,3
509263439449351,mulher,2
509263439449351,querer,2
509263439449351,entender,2
509263439449351,dor,2
509263439449351,direito,2
509263439449351,então,2
509263439449351,pedir,2
1251316891678779,tô,3
1251316891678779,rir,2
1251316891678779,baixar,1
1251316891678779,suficiente,1
1251316891678779,academia,1
1251316891678779,criar,1
1251316891678779,tá,1
1251316891678779,tão,1
1251316891678779,visão,1
1251316891678779,atoa,1
872507229580251,youtube,6
872507229580251,watch,6
872507229580251,amigo,3
872507229580251,existir,2
872507229580251,face,2
872507229580251,facebook,2
872507229580251,igreja,2
872507229580251,roupa,2
872507229580251,pedir,2
872507229580251,clássico,2
1595748830495975,deus,17
1595748830495975,amo,16
1595748830495975,saudade,12
1595748830495975,vida,12
1595748830495975,amigo,11
1595748830495975,amor,11
1595748830495975,olhar,11
1595748830495975,presente,7
1595748830495975,passar,7
1595748830495975,ir,6
869946276512344,ksksk,10
869946276512344,aí,6
869946276512344,crush,6
869946276512344,dar,6
869946276512344,professor,5
869946276512344,bom,5
869946276512344,chegar,5
869946276512344,né,4
869946276512344,amigo,4
869946276512344,parabéns,3
1587627037942974,show,5
1587627037942974,alegre,3
1587627037942974,porto,3
1587627037942974,setembro,2
1587627037942974,realizar,2
1587627037942974,vida,2
1587627037942974,sonho,2
1587627037942974,tornar,1
1587627037942974,admitir,1
1587627037942974,princês,1
1492157617538982,youtube,10
1492157617538982,watch,10
1492157617538982,deo,4
1492157617538982,prir,3
1492157617538982,quizur,3
1492157617538982,família,2
1492157617538982,tempo,2
1492157617538982,criança,2
1492157617538982,campos,2
1492157617538982,continuar,2
1432240266894971,amor,20
1432240266894971,olhar,12
1432240266894971,utm,12
1432240266894971,talento,10
1432240266894971,jardim,10
1432240266894971,html,10
1432240266894971,ninguém,8
1432240266894971,quartezan,8
1432240266894971,vida,8
1432240266894971,gostar,8
1948222792103902,dessy,11
