Palavra Procurada,Palavra Encontrada,Similaridade
TRAIDOR,traidor,100
MENTIRA,mentira,100
MENTIRA,mentira,100
MENTIRA,mentira,100
MENTIRA,mentira,100
MENTIRA,mentir,92
SUICÍDIO,suicidio,88
MORTE,morte,100
TRAIR,tragir,91
TERRORISTA,terrorista,100
VIOLENTO,violet,86
SOFRIMENTO,sofrimento,100
DERROTADO,derrota,88
DERROTADO,derrota,88
CADÁVER,cadaver,86
CRIME,crime,100
TRISTE,trist,91
DECEPCIONAR,decepcionar,100
DECEPCIONAR,decepcionar qqq,85
DOR,doer,86
DEPRESSÃO,depressao,89
RAIVA,raiva,100
RAIVA,raiva,100
RAIVA,raiva,100
HORRÍVEL,horrivel,88
HORRÍVEL,horrivel,88
DESTRUIR,destruir,100
MORTO,morto,100
MORTO,morto,100
MORTO,morto,100
MORTO,morto,100
MORTO,morto,100
DEMÔNIO,demonio,86
MEDO,medo,100
MEDO,medo,100
MEDO,medo,100
MEDO,medo,100
PROBLEMA,problema,100
PROBLEMA,problema,100
PROBLEMA,problema,100
INSEGURO,seguro,86
IDIOTA,idiota,100
DETESTAR,testar,86
CRISE,crise,100
ESCRAVO,escrevo,86
MACHUCADO,machado,88
MACHUCADO,machado,88
MACHUCADO,machado,88
MACHUCADO,machado,88
INTROMETER,intrometer,100
ERRO,erro,100
ERRO,erro,100
ERRO,berro,89
ERRO,berro,89
ERRO,berro,89
RIDÍCULO,ridiculo,88
DIABO,diabo,100
TOLO,tolfo,89
HOSPITAL,hospital,100
BURRO,burro,100
CICATRIZ,cicatriz,100
VARA,varia,89
CORTE,core,89
PESAR,pesar,100
PESAR,pesar,100
PESAR,pesar,100
PESAR,pesar,100
PESAR,pesar,100
GATO,gato,100
GATO,gato,100
GATO,gatao,89
ANSIOSO,ansioso,100
INSOSSO,minosso,86
BERRAR,errar,91
BERRAR,errar,91
BELISCAR,biscar,86
