id_usuario,palavra,contagem
1300866146657161,negaval,5
1300866146657161,gostar,3
1300866146657161,crianco,1
1300866146657161,coracao,1
1300866146657161,amiga,1
1300866146657161,ajudar,1
1300866146657161,sorriso,1
1300866146657161,ouvir,1
1300866146657161,junto,1
1300866146657161,encontrar,1
1496743567088891,vida,6
1496743567088891,precisar,6
1496743567088891,amor,6
1496743567088891,chamar,4
1496743567088891,perder,3
1496743567088891,apesar,3
1496743567088891,ajudar,3
1496743567088891,mero,2
1496743567088891,lembrar,2
1496743567088891,morte,2
967268016763567,outubro,2
967268016763567,abencoe,2
967268016763567,amigo,2
967268016763567,sorriso,2
967268016763567,acontecer,1
967268016763567,acreditar,1
967268016763567,trazer,1
967268016763567,doce,1
967268016763567,tristeza,1
967268016763567,irmao,1
1675021165894745,aresso,5
1675021165894745,facil,2
1675021165894745,levar,2
1675021165894745,vida,2
1675021165894745,importante,2
1675021165894745,facar,1
1675021165894745,existir,1
1675021165894745,excelente,1
1675021165894745,amigo,1
1675021165894745,cachorro,1
1178117145655574,criminalcase,17
1178117145655574,louco,1
1178117145655574,enfim,0
1178117145655574,direito,0
1178117145655574,doce,0
1178117145655574,doenca,0
1178117145655574,dor,0
1178117145655574,educacao,0
1178117145655574,encontrar,0
1178117145655574,ensinar,0
387219935043294,youtube,0
387219935043294,diferente,0
387219935043294,direito,0
387219935043294,doce,0
387219935043294,doenca,0
387219935043294,dor,0
387219935043294,educacao,0
387219935043294,encontrar,0
387219935043294,enfim,0
387219935043294,ensinar,0
1225153407589388,pensar,2
1225153407589388,sonho,2
1225153407589388,ganhar,1
1225153407589388,amiga,1
1225153407589388,arte,1
1225153407589388,forca,1
1225153407589388,amo,1
1225153407589388,mudar,1
1225153407589388,amigo,1
1225153407589388,crianco,1
1485262061558230,youtube,0
1485262061558230,diferente,0
1485262061558230,direito,0
1485262061558230,doce,0
1485262061558230,doenca,0
1485262061558230,dor,0
1485262061558230,educacao,0
1485262061558230,encontrar,0
1485262061558230,enfim,0
1485262061558230,ensinar,0
1550846648355920,youtube,0
1550846648355920,diferente,0
1550846648355920,direito,0
1550846648355920,doce,0
1550846648355920,doenca,0
1550846648355920,dor,0
1550846648355920,educacao,0
1550846648355920,encontrar,0
1550846648355920,enfim,0
1550846648355920,ensinar,0
395998997485189,youtube,0
395998997485189,diferente,0
395998997485189,direito,0
395998997485189,doce,0
395998997485189,doenca,0
395998997485189,dor,0
395998997485189,educacao,0
395998997485189,encontrar,0
395998997485189,enfim,0
395998997485189,ensinar,0
1152757041522424,youtube,0
1152757041522424,diferente,0
1152757041522424,direito,0
1152757041522424,doce,0
1152757041522424,doenca,0
1152757041522424,dor,0
1152757041522424,educacao,0
1152757041522424,encontrar,0
1152757041522424,enfim,0
1152757041522424,ensinar,0
883399878494992,deus,2
883399878494992,ajudar,1
883399878494992,precisar,1
883399878494992,ajuda,1
883399878494992,participar,1
883399878494992,jesus,1
883399878494992,real,1
883399878494992,halloween,1
883399878494992,abencoar,1
883399878494992,perder,1
848813808619893,atencao,1
848813808619893,terra,1
848813808619893,terminar,1
848813808619893,tirar,1
848813808619893,direito,1
848813808619893,mundo,1
848813808619893,livro,1
848813808619893,chegar,1
848813808619893,ltimo,1
848813808619893,aprender,1
733974373455167,defender,1
733974373455167,legal,1
733974373455167,diferente,0
733974373455167,direito,0
733974373455167,doce,0
733974373455167,doenca,0
733974373455167,dor,0
733974373455167,educacao,0
733974373455167,encontrar,0
733974373455167,enfim,0
1493810250700654,youtube,0
1493810250700654,diferente,0
1493810250700654,direito,0
1493810250700654,doce,0
1493810250700654,doenca,0
1493810250700654,dor,0
