id_usuario,palavra,contagem
1870214326566563,amo,2
1870214326566563,foto,1
1870214326566563,hj,1
1870214326566563,mãe,1
1870214326566563,olha,1
1870214326566563,carinho,1
1870214326566563,povo,1
1870214326566563,faz,1
1870214326566563,única,0
1870214326566563,erro,0
872507229580251,amigos,3
872507229580251,facebook,2
872507229580251,face,2
872507229580251,nome,2
872507229580251,roupas,2
872507229580251,futuro,1
872507229580251,mundo,1
872507229580251,diz,1
872507229580251,parada,1
872507229580251,copie,1
1492157617538982,primos,3
1492157617538982,quizur,3
1492157617538982,sim,3
1492157617538982,massa,2
1492157617538982,vai,2
1492157617538982,tudo,2
1492157617538982,boa,2
1492157617538982,família,2
1492157617538982,melhor,2
1492157617538982,sendo,2
1502169689831039,mim,3
1502169689831039,fizeram,3
1502169689831039,aqui,2
1502169689831039,muitas,2
1502169689831039,oq,2
1502169689831039,saudades,2
1502169689831039,faz,2
1502169689831039,pensar,2
1502169689831039,quero,2
1502169689831039,tão,2
1457411227699416,sobre,14
1457411227699416,melhor,11
1457411227699416,ter,11
1457411227699416,ainda,10
1457411227699416,mundo,10
1457411227699416,gay,10
1457411227699416,vai,10
1457411227699416,sempre,9
1457411227699416,filme,9
1457411227699416,tudo,8
2069736153313031,queria,4
2069736153313031,vou,3
2069736153313031,desses,3
2069736153313031,berro,3
2069736153313031,quero,3
2069736153313031,ainda,2
2069736153313031,rs,2
2069736153313031,sonho,2
2069736153313031,assim,2
2069736153313031,chorei,2
815098648696899,mente,1
815098648696899,olha,1
815098648696899,hoje,1
815098648696899,roupa,1
815098648696899,vai,1
815098648696899,porta,1
815098648696899,tiro,1
815098648696899,alguma,1
815098648696899,sábado,1
815098648696899,realizada,1
848813808619893,potter,10
848813808619893,pessoas,6
848813808619893,coisa,6
848813808619893,qualquer,5
848813808619893,mundo,5
848813808619893,ter,4
848813808619893,pode,4
848813808619893,the,4
848813808619893,quanto,3
848813808619893,mesma,3
1490358514390143,amo,9
1490358514390143,hoje,7
1490358514390143,quanto,5
1490358514390143,amizade,5
1490358514390143,anos,5
1490358514390143,sempre,5
1490358514390143,mim,4
1490358514390143,porque,4
1490358514390143,parabéns,4
1490358514390143,you,4
1946002089051904,sobre,39
1946002089051904,tudo,36
1946002089051904,tão,27
1946002089051904,todos,26
1946002089051904,pessoas,25
1946002089051904,mim,24
1946002089051904,ter,23
1946002089051904,então,22
1946002089051904,vai,22
1946002089051904,dor,22
1505262262895441,todos,10
1505262262895441,sabe,8
1505262262895441,amo,8
1505262262895441,mim,8
1505262262895441,todas,8
1505262262895441,quero,8
1505262262895441,casa,8
1505262262895441,sempre,8
1505262262895441,hoje,8
1505262262895441,família,8
523889937966576,todos,6
523889937966576,amo,6
