id_usuario,palavra,contagem
1870214326566563,amo,2
1870214326566563,carinho,1
1870214326566563,faz,1
1870214326566563,mãe,1
1870214326566563,ano,1
1870214326566563,povo,1
1870214326566563,foto,1
1870214326566563,olha,1
1870214326566563,hj,1
1870214326566563,entrega,0
872507229580251,amigos,3
872507229580251,roupas,2
872507229580251,facebook,2
872507229580251,face,2
872507229580251,gabriel,2
872507229580251,nome,2
872507229580251,nova,2
872507229580251,santos,2
872507229580251,juliana,1
872507229580251,amor,1
1492157617538982,marques,14
1492157617538982,lenise,13
1492157617538982,feliz,3
1492157617538982,sim,3
1492157617538982,quizur,3
1492157617538982,primos,3
1492157617538982,bem,3
1492157617538982,vida,2
1492157617538982,família,2
1492157617538982,massa,2
1502169689831039,karina,7
1502169689831039,soares,7
1502169689831039,nao,6
1502169689831039,fizeram,3
1502169689831039,bem,3
1502169689831039,mim,3
1502169689831039,tão,2
1502169689831039,pensar,2
1502169689831039,aqui,2
1502169689831039,quero,2
1457411227699416,sobre,14
1457411227699416,melhor,11
1457411227699416,ter,11
1457411227699416,vida,11
1457411227699416,vai,10
1457411227699416,mundo,10
1457411227699416,ainda,10
1457411227699416,gay,10
1457411227699416,sempre,9
1457411227699416,filme,9
2069736153313031,queria,4
2069736153313031,vou,3
2069736153313031,berro,3
2069736153313031,desses,3
2069736153313031,mulher,3
2069736153313031,quero,3
2069736153313031,hino,3
2069736153313031,bem,2
2069736153313031,sonho,2
2069736153313031,chorei,2
815098648696899,sobre,1
815098648696899,ninguém,1
815098648696899,corpo,1
815098648696899,sala,1
815098648696899,filha,1
815098648696899,saiu,1
815098648696899,bater,1
815098648696899,sábado,1
815098648696899,digo,1
815098648696899,todos,1
848813808619893,potter,10
848813808619893,harry,10
848813808619893,bianca,8
848813808619893,melo,7
848813808619893,wanna,6
848813808619893,pessoas,6
848813808619893,coisa,6
848813808619893,dia,6
848813808619893,mundo,5
848813808619893,mulher,5
1490358514390143,vida,15
1490358514390143,amo,9
1490358514390143,dia,8
1490358514390143,hoje,7
1490358514390143,amor,7
1490358514390143,deus,6
1490358514390143,sempre,5
1490358514390143,quanto,5
1490358514390143,amizade,5
1490358514390143,anos,5
1946002089051904,sobre,39
1946002089051904,tudo,36
1946002089051904,vida,30
1946002089051904,tão,27
1946002089051904,todos,26
1946002089051904,pessoas,25
1946002089051904,mim,24
1946002089051904,deus,24
1946002089051904,bem,23
1946002089051904,ter,23
1505262262895441,deus,20
1505262262895441,costa,16
1505262262895441,feliz,14
1505262262895441,vida,14
1505262262895441,beatriz,12
1505262262895441,amor,10
1505262262895441,todos,10
1505262262895441,mim,8
1505262262895441,todas,8
1505262262895441,sabe,8
523889937966576,deus,9
523889937966576,todos,6
523889937966576,amo,6
523889937966576,sz,6
523889937966576,vida,6
523889937966576,ti,5
523889937966576,sempre,5
523889937966576,alves,5
523889937966576,tudo,5
523889937966576,anos,5
1486146538167125,amo,8
1486146538167125,carolina,7
1486146538167125,godinho,7
1486146538167125,ana,7
1486146538167125,vida,5
1486146538167125,mt,4
1486146538167125,linda,3
1486146538167125,dia,3
1486146538167125,tão,3
1486146538167125,amiga,3
741580989385892,norma,17
741580989385892,santana,13
741580989385892,obrigada,7
741580989385892,pele,6
741580989385892,ainda,5
741580989385892,lilian,5
741580989385892,terra,5
741580989385892,amiga,5
741580989385892,nunca,4
741580989385892,vou,4
1257481127685383,the,7
1257481127685383,of,2
1257481127685383,diz,2
1257481127685383,merda,2
1257481127685383,from,2
1257481127685383,rio,2
1257481127685383,gato,2
1257481127685383,agora,1
1257481127685383,nunca,1
1257481127685383,esquecer,1
1651450664917734,lopes,34
1651450664917734,sofia,33
1651450664917734,sempre,16
1651450664917734,tudo,15
1651450664917734,sei,13
1651450664917734,voltar,13
1651450664917734,ia,13
1651450664917734,melhor,11
1651450664917734,todos,11
1651450664917734,gente,10
1976561949250115,louise,9
1976561949250115,anna,9
1976561949250115,cof,6
1976561949250115,joel,4
1976561949250115,vida,4
1976561949250115,rodrigues,4
1976561949250115,ferreira,3
1976561949250115,deus,3
1976561949250115,dia,3
1976561949250115,yasmin,3
741112402763818,sempre,14
741112402763818,nathy,12
741112402763818,vai,12
741112402763818,nunca,11
741112402763818,quero,11
741112402763818,tudo,11
741112402763818,vou,10
741112402763818,coração,9
741112402763818,santos,9
741112402763818,bem,9
10214421550670970,ai,52
10214421550670970,aninha,28
10214421550670970,mineirinha,27
10214421550670970,dia,23
10214421550670970,moreira,22
10214421550670970,roberto,22
10214421550670970,fernando,21
10214421550670970,cascavel,20
10214421550670970,furia,20
10214421550670970,cada,19
1540802029367418,capeline,23
1540802029367418,felipe,12
1540802029367418,campos,11
1540802029367418,sempre,7
1540802029367418,mto,5
1540802029367418,amigo,5
1540802029367418,muitos,5
1540802029367418,sei,5
1540802029367418,ano,5
1540802029367418,thais,4
1170510339747390,sim,2
1170510339747390,entendi,1
1170510339747390,prefiro,1
1170510339747390,saudades,1
1170510339747390,morrer,1
1170510339747390,merda,1
1170510339747390,is,1
1170510339747390,the,1
1170510339747390,passou,1
1170510339747390,cê,1
932900373523932,vida,14
932900373523932,medo,8
932900373523932,tudo,8
932900373523932,nunca,7
932900373523932,vai,7
932900373523932,mundo,6
932900373523932,ainda,6
932900373523932,sempre,6
932900373523932,coisas,6
932900373523932,coisa,5
1528261897239795,passa,1
1528261897239795,dia,1
1528261897239795,menos,1
1528261897239795,bem,1
1528261897239795,fé,1
1528261897239795,realidade,1
1528261897239795,pessoas,1
1528261897239795,vencer,1
1528261897239795,ah,1
1528261897239795,cada,1
575912899414794,olha,7
575912899414794,tūma,5
575912899414794,ki,4
575912899414794,porra,4
575912899414794,passa,3
575912899414794,cof,3
575912899414794,potter,2
575912899414794,deus,2
575912899414794,harry,2
575912899414794,vai,2
1977291202559840,fazer,2
1977291202559840,companhia,1
1977291202559840,alguém,1
1977291202559840,bora,1
1977291202559840,soube,1
1977291202559840,bem,1
1977291202559840,video,1
1977291202559840,ai,1
1977291202559840,disse,1
1977291202559840,algo,1
938224233002226,sempre,6
938224233002226,deus,5
938224233002226,todos,5
938224233002226,vida,4
938224233002226,dentro,3
938224233002226,amo,3
938224233002226,quero,3
938224233002226,palavras,3
938224233002226,amor,3
938224233002226,mundo,3
1796067243760886,vou,16
1796067243760886,sempre,11
1796067243760886,sei,11
1796067243760886,vida,10
1796067243760886,agora,10
1796067243760886,aqui,9
1796067243760886,vai,9
