_id,id_usuario,likeCreatedTime,data,mes,semana,quantLikes
5a047c7a0cd60f001eed3698,1457411227699416,2017-11-08 19:19:27,2017-11-08,2017-11,2017-11-06/2017-11-12,1
5a047c7a0cd60f001eed3699,1457411227699416,2017-11-07 17:11:10,2017-11-07,2017-11,2017-11-06/2017-11-12,1
5a047c7a0cd60f001eed369a,1457411227699416,2017-11-07 02:43:17,2017-11-07,2017-11,2017-11-06/2017-11-12,1
5a047c7a0cd60f001eed369b,1457411227699416,2017-11-04 20:25:11,2017-11-04,2017-11,2017-10-30/2017-11-05,1
5a047c7a0cd60f001eed369c,1457411227699416,2017-11-03 20:36:27,2017-11-03,2017-11,2017-10-30/2017-11-05,1
5a047c7a0cd60f001eed369d,1457411227699416,2017-11-03 20:28:45,2017-11-03,2017-11,2017-10-30/2017-11-05,1
5a047c7a0cd60f001eed369e,1457411227699416,2017-11-01 19:14:01,2017-11-01,2017-11,2017-10-30/2017-11-05,1
5a047c7a0cd60f001eed369f,1457411227699416,2017-11-01 19:13:58,2017-11-01,2017-11,2017-10-30/2017-11-05,1
5a047c7a0cd60f001eed36a0,1457411227699416,2017-10-31 21:13:45,2017-10-31,2017-10,2017-10-30/2017-11-05,1
5a047c7a0cd60f001eed36a1,1457411227699416,2017-10-31 10:24:35,2017-10-31,2017-10,2017-10-30/2017-11-05,1
5a047c7a0cd60f001eed36a2,1457411227699416,2017-10-29 14:20:39,2017-10-29,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36a3,1457411227699416,2017-10-29 14:20:37,2017-10-29,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36a4,1457411227699416,2017-10-29 14:20:34,2017-10-29,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36a5,1457411227699416,2017-10-29 14:20:32,2017-10-29,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36a6,1457411227699416,2017-10-29 14:20:31,2017-10-29,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36a7,1457411227699416,2017-10-29 14:20:27,2017-10-29,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36a8,1457411227699416,2017-10-23 14:04:48,2017-10-23,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36a9,1457411227699416,2017-10-23 14:04:33,2017-10-23,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36aa,1457411227699416,2017-10-23 13:36:08,2017-10-23,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36ab,1457411227699416,2017-10-23 12:30:30,2017-10-23,2017-10,2017-10-23/2017-10-29,1
5a047c7a0cd60f001eed36ac,1457411227699416,2017-10-22 14:07:55,2017-10-22,2017-10,2017-10-16/2017-10-22,1
5a047c7a0cd60f001eed36ad,1457411227699416,2017-10-21 22:26:18,2017-10-21,2017-10,2017-10-16/2017-10-22,1
5a047c7a0cd60f001eed36ae,1457411227699416,2017-10-16 22:48:37,2017-10-16,2017-10,2017-10-16/2017-10-22,1
5a047c7a0cd60f001eed36af,1457411227699416,2017-10-13 11:26:00,2017-10-13,2017-10,2017-10-09/2017-10-15,1
5a047c7a0cd60f001eed36b0,1457411227699416,2017-10-11 20:22:21,2017-10-11,2017-10,2017-10-09/2017-10-15,1
5a047c7a0cd60f001eed36b1,1457411227699416,2017-10-05 18:54:06,2017-10-05,2017-10,2017-10-02/2017-10-08,1
5a047c7a0cd60f001eed36b2,1457411227699416,2017-10-05 01:19:48,2017-10-05,2017-10,2017-10-02/2017-10-08,1
5a047c7a0cd60f001eed36b3,1457411227699416,2017-10-04 20:49:02,2017-10-04,2017-10,2017-10-02/2017-10-08,1
5a047c7a0cd60f001eed36b4,1457411227699416,2017-10-03 11:35:06,2017-10-03,2017-10,2017-10-02/2017-10-08,1
5a047c7a0cd60f001eed36b5,1457411227699416,2017-09-29 01:20:17,2017-09-29,2017-09,2017-09-25/2017-10-01,1
5a047c7a0cd60f001eed36b6,1457411227699416,2017-09-28 22:20:52,2017-09-28,2017-09,2017-09-25/2017-10-01,1
5a047c7a0cd60f001eed36b7,1457411227699416,2017-09-26 21:37:50,2017-09-26,2017-09,2017-09-25/2017-10-01,1
5a047c7a0cd60f001eed36b8,1457411227699416,2017-09-26 16:51:40,2017-09-26,2017-09,2017-09-25/2017-10-01,1
5a047c7a0cd60f001eed36b9,1457411227699416,2017-09-22 18:27:10,2017-09-22,2017-09,2017-09-18/2017-09-24,1
5a047c7a0cd60f001eed36ba,1457411227699416,2017-09-22 18:27:08,2017-09-22,2017-09,2017-09-18/2017-09-24,1
5a047c7a0cd60f001eed36bb,1457411227699416,2017-09-21 12:00:19,2017-09-21,2017-09,2017-09-18/2017-09-24,1
5a047c7a0cd60f001eed36bc,1457411227699416,2017-09-20 22:36:15,2017-09-20,2017-09,2017-09-18/2017-09-24,1
5a047c7a0cd60f001eed36bd,1457411227699416,2017-09-19 19:18:11,2017-09-19,2017-09,2017-09-18/2017-09-24,1
5a047c7a0cd60f001eed36be,1457411227699416,2017-09-19 12:52:58,2017-09-19,2017-09,2017-09-18/2017-09-24,1
5a047c7a0cd60f001eed36bf,1457411227699416,2017-09-18 13:40:19,2017-09-18,2017-09,2017-09-18/2017-09-24,1
5a047c7a0cd60f001eed36c0,1457411227699416,2017-09-16 00:19:07,2017-09-16,2017-09,2017-09-11/2017-09-17,1
5a047c7a0cd60f001eed36c1,1457411227699416,2017-09-14 00:20:21,2017-09-14,2017-09,2017-09-11/2017-09-17,1
5a047c7a0cd60f001eed36c2,1457411227699416,2017-09-11 01:19:27,2017-09-11,2017-09,2017-09-11/2017-09-17,1
5a047c7a0cd60f001eed36c3,1457411227699416,2017-09-08 18:03:03,2017-09-08,2017-09,2017-09-04/2017-09-10,1
5a047c7a0cd60f001eed36c4,1457411227699416,2017-09-08 17:00:05,2017-09-08,2017-09,2017-09-04/2017-09-10,1
5a047c7a0cd60f001eed36c5,1457411227699416,2017-09-06 19:04:51,2017-09-06,2017-09,2017-09-04/2017-09-10,1
5a047c7a0cd60f001eed36c6,1457411227699416,2017-09-05 11:25:15,2017-09-05,2017-09,2017-09-04/2017-09-10,1
5a047c7a0cd60f001eed36c7,1457411227699416,2017-09-04 13:26:11,2017-09-04,2017-09,2017-09-04/2017-09-10,1
5a047c7a0cd60f001eed36c8,1457411227699416,2017-09-03 22:13:19,2017-09-03,2017-09,2017-08-28/2017-09-03,1
5a047c7a0cd60f001eed36c9,1457411227699416,2017-09-02 18:05:28,2017-09-02,2017-09,2017-08-28/2017-09-03,1
5a047c7a0cd60f001eed36ca,1457411227699416,2017-08-29 20:23:36,2017-08-29,2017-08,2017-08-28/2017-09-03,1
5a047c7a0cd60f001eed36cb,1457411227699416,2017-08-29 17:37:08,2017-08-29,2017-08,2017-08-28/2017-09-03,1
5a047c7a0cd60f001eed36cc,1457411227699416,2017-08-28 03:37:05,2017-08-28,2017-08,2017-08-28/2017-09-03,1
5a047c7a0cd60f001eed36cd,1457411227699416,2017-08-26 00:23:20,2017-08-26,2017-08,2017-08-21/2017-08-27,1
5a047c7a0cd60f001eed36ce,1457411227699416,2017-08-25 22:36:05,2017-08-25,2017-08,2017-08-21/2017-08-27,1
5a047c7a0cd60f001eed36cf,1457411227699416,2017-08-25 12:09:20,2017-08-25,2017-08,2017-08-21/2017-08-27,1
5a047c7a0cd60f001eed36d0,1457411227699416,2017-08-24 17:00:41,2017-08-24,2017-08,2017-08-21/2017-08-27,1
5a047c7a0cd60f001eed36d1,1457411227699416,2017-08-23 11:56:40,2017-08-23,2017-08,2017-08-21/2017-08-27,1
5a047c7a0cd60f001eed36d2,1457411227699416,2017-08-17 19:58:05,2017-08-17,2017-08,2017-08-14/2017-08-20,1
5a047c7a0cd60f001eed36d3,1457411227699416,2017-08-17 19:51:06,2017-08-17,2017-08,2017-08-14/2017-08-20,1
