id_usuario,palavra,contagem
1870214326566563,amo,98
1870214326566563,bom,74
1870214326566563,dia,54
1870214326566563,tedesco,48
1870214326566563,amor,45
1870214326566563,todos,40
1870214326566563,fred,37
1870214326566563,deus,35
1870214326566563,bolo,34
1870214326566563,demais,33
872507229580251,lançamento,37
872507229580251,participando,37
872507229580251,cortesia,37
872507229580251,sorteio,37
872507229580251,silva,36
872507229580251,silveira,36
872507229580251,santos,30
872507229580251,alex,18
872507229580251,favor,15
872507229580251,dia,14
1492157617538982,marques,166
1492157617538982,denise,124
1492157617538982,lenise,89
1492157617538982,jarlison,43
1492157617538982,todos,41
1492157617538982,assim,37
1492157617538982,vida,37
1492157617538982,dia,36
1492157617538982,brena,32
1492157617538982,bem,30
1502169689831039,karina,46
1502169689831039,soares,40
1502169689831039,nao,29
1502169689831039,dia,22
1502169689831039,cruz,22
1502169689831039,nunes,17
1502169689831039,sempre,17
1502169689831039,josý,16
1502169689831039,feliz,15
1502169689831039,amo,15
1457411227699416,jean,147
1457411227699416,biazus,137
1457411227699416,vai,129
1457411227699416,amor,126
1457411227699416,quero,113
1457411227699416,vou,113
1457411227699416,dieicon,110
1457411227699416,dia,108
1457411227699416,hoje,108
1457411227699416,bem,98
2069736153313031,msm,10
2069736153313031,vou,10
2069736153313031,sempre,10
2069736153313031,amo,8
2069736153313031,sos,8
2069736153313031,preciso,8
2069736153313031,quero,8
2069736153313031,sim,7
2069736153313031,porra,6
2069736153313031,todos,6
815098648696899,brenda,46
815098648696899,heloisa,45
815098648696899,dia,42
815098648696899,todos,26
815098648696899,vida,25
815098648696899,parabéns,23
815098648696899,amo,23
815098648696899,pessoas,22
815098648696899,tudo,17
815098648696899,amizade,17
848813808619893,vida,108
848813808619893,bianca,102
848813808619893,melo,84
848813808619893,mundo,78
848813808619893,tudo,76
848813808619893,pode,74
848813808619893,sempre,71
848813808619893,pessoas,71
848813808619893,amor,71
848813808619893,dia,68
1490358514390143,dia,314
1490358514390143,vou,242
1490358514390143,vida,216
1490358514390143,vai,180
1490358514390143,pessoas,179
1490358514390143,mim,175
1490358514390143,hoje,159
1490358514390143,you,158
1490358514390143,tudo,152
1490358514390143,fazer,147
923658871116552,dia,6
923658871116552,vida,4
923658871116552,vai,4
923658871116552,marilia,3
923658871116552,grande,3
923658871116552,todos,3
923658871116552,vou,3
923658871116552,ano,3
923658871116552,escola,2
923658871116552,sonhos,2
1946002089051904,sobre,107
1946002089051904,tudo,98
1946002089051904,vida,92
1946002089051904,todos,72
1946002089051904,pessoas,68
1946002089051904,nada,65
1946002089051904,del,64
1946002089051904,dia,63
1946002089051904,ter,62
1946002089051904,ainda,61
1505262262895441,deus,218
1505262262895441,vida,206
1505262262895441,sempre,172
1505262262895441,dia,162
1505262262895441,beatriz,144
1505262262895441,tudo,138
1505262262895441,mim,134
1505262262895441,feliz,116
1505262262895441,amor,108
1505262262895441,todos,104
523889937966576,alves,28
523889937966576,scheila,25
523889937966576,deus,24
523889937966576,amo,22
523889937966576,bom,19
523889937966576,nao,17
523889937966576,vida,16
523889937966576,dia,16
523889937966576,sempre,15
523889937966576,ai,14
1486146538167125,ana,67
1486146538167125,godinho,39
1486146538167125,clara,33
1486146538167125,castelo,32
1486146538167125,carolina,29
1486146538167125,vida,26
1486146538167125,amo,24
1486146538167125,ferreira,20
1486146538167125,dia,19
1486146538167125,melissa,18
741580989385892,norma,217
741580989385892,santana,122
741580989385892,luana,86
741580989385892,amo,66
741580989385892,dia,64
741580989385892,vai,63
741580989385892,vou,63
741580989385892,tudo,55
741580989385892,vida,51
741580989385892,aqui,49
1257481127685383,vai,140
1257481127685383,vou,121
1257481127685383,dia,111
1257481127685383,tudo,101
1257481127685383,todos,83
1257481127685383,bem,78
1257481127685383,nunca,77
1257481127685383,aqui,77
1257481127685383,mim,77
1257481127685383,quero,75
1651450664917734,lopes,658
1651450664917734,sofia,388
1651450664917734,camila,142
1651450664917734,amo,102
1651450664917734,sempre,101
1651450664917734,victoria,94
1651450664917734,vida,89
1651450664917734,jennifer,73
1651450664917734,anjos,73
1651450664917734,amor,73
1976561949250115,anna,82
1976561949250115,louise,72
1976561949250115,esthéfany,63
1976561949250115,anah,44
1976561949250115,costa,27
1976561949250115,deus,26
1976561949250115,jesus,25
1976561949250115,yasmin,25
1976561949250115,feliz,24
1976561949250115,guedes,24
741112402763818,vai,26
741112402763818,tudo,22
741112402763818,nathy,21
741112402763818,sempre,21
741112402763818,rodrigues,20
741112402763818,ladison,19
741112402763818,quero,18
741112402763818,soares,17
741112402763818,porque,16
741112402763818,silva,16
10214421550670970,nao,331
10214421550670970,ai,288
10214421550670970,dia,207
10214421550670970,so,159
10214421550670970,todos,154
10214421550670970,bom,150
10214421550670970,nada,146
10214421550670970,vida,138
10214421550670970,deus,133
10214421550670970,pois,129
1540802029367418,capeline,155
